Sample,Location,File,Reads,Path,Loc
SKNA_052,SKNA,SKNA_052_R1.sort.flt.bam,1221981,/home/maccamp/data/longfin/SKNA_052_R1.sort.flt.bam,SKNA
SUIB_014,SUIB,SUIB_014_R1.sort.flt.bam,759415,/home/maccamp/data/longfin/SUIB_014_R1.sort.flt.bam,SUIB
SUIB_015,SUIB,SUIB_015_R1.sort.flt.bam,1283054,/home/maccamp/data/longfin/SUIB_015_R1.sort.flt.bam,SUIB
SUIB_016,SUIB,SUIB_016_R1.sort.flt.bam,1355966,/home/maccamp/data/longfin/SUIB_016_R1.sort.flt.bam,SUIB
SUIB_017,SUIB,SUIB_017_R1.sort.flt.bam,832049,/home/maccamp/data/longfin/SUIB_017_R1.sort.flt.bam,SUIB
SUIB_018,SUIB,SUIB_018_R1.sort.flt.bam,374368,/home/maccamp/data/longfin/SUIB_018_R1.sort.flt.bam,SUIB
SUIB_019,SUIB,SUIB_019_R1.sort.flt.bam,940355,/home/maccamp/data/longfin/SUIB_019_R1.sort.flt.bam,SUIB
SUIB_020,SUIB,SUIB_020_R1.sort.flt.bam,932247,/home/maccamp/data/longfin/SUIB_020_R1.sort.flt.bam,SUIB
SUIB_021,SUIB,SUIB_021_R1.sort.flt.bam,1156152,/home/maccamp/data/longfin/SUIB_021_R1.sort.flt.bam,SUIB
SUIB_023,SUIB,SUIB_023_R1.sort.flt.bam,929726,/home/maccamp/data/longfin/SUIB_023_R1.sort.flt.bam,SUIB
SUIB_024,SUIB,SUIB_024_R1.sort.flt.bam,1186987,/home/maccamp/data/longfin/SUIB_024_R1.sort.flt.bam,SUIB
SUIB_028,SUIB,SUIB_028_R1.sort.flt.bam,1080515,/home/maccamp/data/longfin/SUIB_028_R1.sort.flt.bam,SUIB
SUIB_029,SUIB,SUIB_029_R1.sort.flt.bam,947433,/home/maccamp/data/longfin/SUIB_029_R1.sort.flt.bam,SUIB
SUIB_030,SUIB,SUIB_030_R1.sort.flt.bam,1357408,/home/maccamp/data/longfin/SUIB_030_R1.sort.flt.bam,SUIB
SUIB_031,SUIB,SUIB_031_R1.sort.flt.bam,482900,/home/maccamp/data/longfin/SUIB_031_R1.sort.flt.bam,SUIB
SUIB_033,SUIB,SUIB_033_R1.sort.flt.bam,846282,/home/maccamp/data/longfin/SUIB_033_R1.sort.flt.bam,SUIB
SUIB_040,SUIB,SUIB_040_R1.sort.flt.bam,645855,/home/maccamp/data/longfin/SUIB_040_R1.sort.flt.bam,SUIB
SUIB_042,SUIB,SUIB_042_R1.sort.flt.bam,634433,/home/maccamp/data/longfin/SUIB_042_R1.sort.flt.bam,SUIB
SUIB_043,SUIB,SUIB_043_R1.sort.flt.bam,846824,/home/maccamp/data/longfin/SUIB_043_R1.sort.flt.bam,SUIB
SUIB_044,SUIB,SUIB_044_R1.sort.flt.bam,993165,/home/maccamp/data/longfin/SUIB_044_R1.sort.flt.bam,SUIB
